id,doi,is_oa,source,oa_url,host_type
165,10.1007/s00180-018-0810-2,False,,,
166,10.1080/10618600.2024.2374584,False,,,
167,10.1002/sta4.286,False,,,
168,10.1080/03610918.2020.1746340,True,unpaywall,https://arxiv.org/pdf/2003.06067,repository
169,10.1016/j.ecosta.2018.12.003,True,unpaywall,https://arxiv.org/pdf/1702.02009,repository
170,10.1016/j.csda.2017.02.004,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/5642121,repository
171,10.1007/s00362-022-01383-z,False,,,
172,10.1057/s41260-026-00443-5,False,,,
173,10.1007/s00184-022-00887-w,False,,,
174,10.1007/s10651-024-00598-7,True,unpaywall,https://link.springer.com/content/pdf/10.1007/s10651-024-00598-7.pdf,publisher
175,10.1016/j.eneco.2020.105080,False,,,
176,10.1007/s11749-018-0598-y,False,,,
177,10.3390/a18050254,True,unpaywall,https://doi.org/10.3390/a18050254,publisher
178,10.1145/3783779.3783811,False,,,
179,10.15672/hujms.1324888,True,unpaywall,https://doi.org/10.15672/hujms.1324888,publisher
180,10.1002/sim.8798,False,,,
181,10.1177/0962280217722177,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/5557714,repository
182,10.1093/biostatistics/kxaf008,True,unpaywall,https://doi.org/10.1093/biostatistics/kxaf008,publisher
183,10.15672/hujms.1608956,True,unpaywall,https://dergipark.org.tr/en/download/article-file/4474455,publisher
184,10.1007/s00180-022-01240-5,True,unpaywall,https://link.springer.com/content/pdf/10.1007/s00180-022-01240-5.pdf,publisher
185,10.1007/s11634-016-0242-1,False,,,
186,10.1002/sta4.516,True,unpaywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sta4.516,publisher
187,10.1145/3796731.3796763,True,unpaywall,https://doi.org/10.1145/3796731.3796763,
188,10.1080/03610926.2020.1864829,False,,,
189,10.18637/jss.v089.i02,True,unpaywall,https://www.jstatsoft.org/index.php/jss/article/view/v089i02/v89i02.pdf,publisher
190,10.1111/biom.13846,True,unpaywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/biom.13846,publisher
191,10.1007/978-3-030-55874-1_76,True,unpaywall,https://orbit.dtu.dk/en/publications/f7d00bdd-0fc5-4095-991e-4c68cc00c73a,repository
192,10.1080/01621459.2019.1609969,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/7517594,repository
193,10.15446/rce.v49n2.125276,False,,,
194,10.1007/s00180-023-01338-4,False,,,
195,10.1080/03610926.2021.1992438,False,,,
196,10.1093/biomet/asab046,True,unpaywall,https://arxiv.org/pdf/1910.03134,repository
197,10.4310/SII.2022.V15.N2.A9,False,,,
198,10.1080/10618600.2022.2035738,False,,,
199,10.1016/j.jmva.2021.104868,True,unpaywall,https://www.sciencedirect.com/science/article/pii/S0047259X21001469/pdf,publisher
200,10.1007/s11222-025-10792-7,False,,,
201,10.3390/math10071140,True,unpaywall,https://www.mdpi.com/2227-7390/10/7/1140/pdf?version=1648872273,publisher
202,10.21307/stattrans-2016-079,True,unpaywall,https://doi.org/10.21307/stattrans-2016-079,publisher
203,10.1007/s11634-022-00510-w,True,unpaywall,https://link.springer.com/content/pdf/10.1007/s11634-022-00510-w.pdf,publisher
204,10.5705/ss.202018.0316,True,semantic_scholar,https://doi.org/10.5705/ss.202018.0316,
205,10.1080/02664763.2023.2172143,True,unpaywall,https://arxiv.org/pdf/2204.03115,repository
206,10.1007/978-3-319-89327-3_4,False,,,
207,10.1214/23-AOAS1805,True,semantic_scholar,http://arxiv.org/pdf/2203.00784,
209,10.1007/s10651-025-00673-7,False,,,
210,10.1080/01621459.2025.2560688,False,,,
211,10.1093/jrsssc/qlad014,True,unpaywall,https://arxiv.org/pdf/2012.10629,repository
212,10.1016/j.jmse.2019.11.001,True,unpaywall,https://www.sciencedirect.com/science/article/pii/S2096232019300897/pdf,publisher
213,10.1002/sim.70598,True,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC13215663/,repository
214,10.1111/biom.13924,True,unpaywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/biom.13924,publisher
215,10.1002/cjs.11796,True,unpaywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cjs.11796,publisher
216,10.1214/18-EJS1522,True,unpaywall,https://doi.org/10.1214/18-ejs1522,publisher
217,10.32614/RJ-2022-053,True,unpaywall,https://journal.r-project.org/articles/RJ-2022-053/RJ-2022-053.pdf,publisher
218,10.1080/02664763.2026.2695855,True,unpaywall,https://doi.org/10.1080/02664763.2026.2695855,publisher
220,10.1007/s11222-026-10918-5,False,,,
221,10.1002/sim.70355,False,,,
222,10.1080/00401706.2020.1769734,True,semantic_scholar,https://repository.kaust.edu.sa/bitstreams/39bdc830-56d2-4d04-b75d-af3552c4f62c/download,
223,10.3846/mma.2022.14043,True,unpaywall,https://doi.org/10.3846/mma.2022.14043,publisher
224,10.1002/asmb.70059,True,unpaywall,https://doi.org/10.1002/asmb.70059,publisher
225,10.1002/sim.70442,True,unpaywall,https://doi.org/10.1002/sim.70442,publisher
226,10.1007/s40304-025-00443-8,False,,,
227,10.3390/computation9070078,True,unpaywall,https://www.mdpi.com/2079-3197/9/7/78/pdf?version=1625652351,publisher
228,10.1007/s12561-026-09530-y,False,,,
229,10.1080/00949655.2017.1386664,False,,,
230,10.5705/ss.202020.0445,False,,,
232,10.1007/s11222-025-10694-8,False,,,
233,10.1016/j.csda.2021.107363,False,,,
